"x"
"STMN1"
"FCGR1A"
"S100A9"
"S100A8"
"SELL"
"IL10"
"CD46"
"CD8A"
"CD8B"
"FN1"
"EOMES"
"CD38"
"CCL8"
"CXCL10"
"GZMK"
"GZMA"
"CD14"
"CD74"
"IRF4"
"FOXP3"
"CD3E"
"CD3G"
"PRF1"
"MKI67"
"CD4"
"NR4A1"
"IFNG"
"GZMB"
"FOS"
"ITGAM"
"CCL2"
"CCL5"
"CCL3"
"CCR7"
"TBX21"
"UBE2C"
"NKG7"
"IL7R"
"SAT1"
"FCGR2A"
"FCER1G"
"C1QA"
"C1QB"
